FIN_REFERENCE,SAMMAAN,V_SCORE,CREATED_DATE,LOGIN_DATE,LOAN_REQ_AMT,ROI,LOAN_SANC_DT,SANC_AMT,TENURE,GRUH
HLSA00045524,0,4.20000,2023-05-03,2023-05-03T17:39:17Z,2500000,10,2023-05-05T00:00:00Z,1260000,168,0
HLSA0003202F,0,5.00000,2023-02-27,2023-02-28T04:33:54Z,1100000,11,2023-03-03T00:00:00Z,1000000,205,0
HLSA00044161,0,3.00000,2023-04-26,2023-04-28T12:54:38Z,1700000,11.5,2050-01-01T00:00:00Z,0,0,0
HLSA0000A1DA,1,10.00000,2022-12-29,2022-12-29T15:31:40Z,902601,10.5,2022-12-29T00:00:00Z,879403,164,0
HLSA0000B668,0,4.20000,2023-01-11,2023-01-20T18:04:30Z,700000,12.5,2023-01-21T00:00:00Z,660000,173,0
HLSA0003AC8C,0,4.20000,2023-03-26,2023-03-27T10:20:59Z,7500000,10.5,2050-01-01T00:00:00Z,0,0,0
M0275477TU,1,-1.00000,2022-12-16,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,108,0
HLSA0004AB20,0,4.30000,2023-05-26,2023-05-26T16:51:26Z,1800000,10.5,2023-05-30T00:00:00Z,1705000,240,0
HLSA0000BC6BTU,0,-1.00000,2023-01-20,2050-01-01T00:00:00Z,0,11,2050-01-01T00:00:00Z,0,300,0
HLSA00006D0E,0,2.00000,2022-11-23,2022-11-24T00:31:55Z,3500000,10.5,2050-01-01T00:00:00Z,0,0,0
M0335888,0,11.00000,2023-04-05,2023-04-05T18:50:07Z,500000,11.5,2023-04-06T00:00:00Z,500000,120,0
M0229585,1,16.00000,2022-10-07,2022-10-10T11:39:30Z,1300000,9,2022-10-12T00:00:00Z,1269541,72,0
HLSA00037E6D,0,1.00000,2023-03-14,2023-03-14T19:52:53Z,1500000,12.5,2050-01-01T00:00:00Z,0,0,0
HLSA0000A9FA,0,-1.00000,2023-01-04,2023-01-05T18:15:12Z,2200000,11.25,2023-01-16T00:00:00Z,1920000,300,0
HLSA00042276,1,14.00000,2023-04-17,2023-04-17T15:54:04Z,544775,9.75,2023-04-17T00:00:00Z,531900,74,0
HLSA0003CF1D,0,1.00000,2023-03-28,2023-03-29T12:14:07Z,1400000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00019607,0,4.30000,2023-01-29,2023-01-29T16:16:42Z,1000000,10,2023-02-01T00:00:00Z,924000,240,0
M0223793,1,20.00000,2022-09-25,2022-09-25T17:01:36Z,899032,9,2022-09-26T00:00:00Z,900326,117,0
M0240934,0,1.00000,2022-10-19,2022-10-28T15:03:22Z,1700000,12.5,2050-01-01T00:00:00Z,0,0,0
M0229578,0,4.50000,2022-10-06,2022-10-06T20:06:24Z,4000000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00038380,1,10.00000,2023-03-15,2023-03-15T09:55:59Z,1283000,10,2023-03-15T00:00:00Z,200000,84,0
HLSA0003BD0F,0,-1.00000,2023-03-25,2023-03-25T23:56:19Z,3000000,10.5,2023-03-30T00:00:00Z,2730000,288,0
HLSA0003BB83,0,4.30000,2023-03-24,2023-03-25T09:50:21Z,3000000,10,2023-03-30T00:00:00Z,2700000,240,0
HLSA0000664E,0,4.30000,2022-11-17,2022-11-18T09:58:35Z,4500000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00043320,0,2.00000,2023-04-21,2023-04-26T15:42:22Z,2000000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00018A48,0,4.30000,2023-02-18,2023-02-18T21:59:23Z,4000000,10.75,2050-01-01T00:00:00Z,0,0,0
HLSA0000B59C,0,4.20000,2023-01-11,2023-01-12T23:09:02Z,1500000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00041D44,0,6.00000,2023-04-15,2023-04-16T01:50:44Z,2000000,11,2023-04-19T00:00:00Z,865000,240,0
HLSA0002FF3C,0,2.00000,2023-03-06,2023-03-11T19:10:08Z,1500000,12,2050-01-01T00:00:00Z,0,0,0
M0196059,0,1.00000,2022-08-19,2022-09-11T19:11:10Z,6500000,10,2050-01-01T00:00:00Z,0,0,0
M0207009,1,5.00000,2022-09-05,2022-09-06T01:22:02Z,800000,9,2022-09-06T00:00:00Z,610560,103,0
HLSA0004BB37,0,1.00000,2023-05-30,2023-05-30T17:37:01Z,800000,11,2050-01-01T00:00:00Z,0,0,0
HLSA00033951,0,9.00000,2023-03-04,2023-03-05T15:16:40Z,7000000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00003E09,1,4.40000,2022-10-04,2022-10-04T14:56:54Z,7774450,10.5,2022-10-07T00:00:00Z,125000,84,0
M0197647,0,1.00000,2022-08-23,2022-08-23T17:05:31Z,6000000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA000370CA,0,3.00000,2023-03-11,2023-03-15T20:05:14Z,1500000,11,2050-01-01T00:00:00Z,0,0,0
HLSA0000740C,0,5.00000,2022-12-01,2022-12-13T20:15:33Z,2300000,10.5,2022-12-19T00:00:00Z,1985000,240,0
HLSA0003F60A,1,7.00000,2023-04-07,2023-04-11T12:26:22Z,370315,10.5,2023-04-11T00:00:00Z,345315,129,0
HLSA00008F74TU,1,-1.00000,2022-12-29,2050-01-01T00:00:00Z,0,9.75,2050-01-01T00:00:00Z,0,180,0
HLSA00007931,0,5.00000,2022-12-06,2022-12-06T16:52:57Z,3500000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00003C62,0,14.00000,2022-10-02,2022-10-04T13:02:25Z,8000000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0004512CTU,1,-1.00000,2023-05-05,2050-01-01T00:00:00Z,0,10.5,2050-01-01T00:00:00Z,0,144,0
M0257019,0,4.40000,2022-11-16,2022-11-18T10:27:21Z,2700000,12,2050-01-01T00:00:00Z,0,0,0
HLSA00002200,0,10.00000,2022-09-06,2022-09-07T02:38:41Z,1300000,10.5,2022-09-12T00:00:00Z,860000,216,0
HLSA000276BETU,1,-1.00000,2023-02-11,2050-01-01T00:00:00Z,0,9.75,2050-01-01T00:00:00Z,0,60,0
M0261287TU,1,-1.00000,2022-11-30,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,132,0
HLSA0000575F,0,4.30000,2022-11-10,2022-11-16T12:03:20Z,2500000,11.5,2022-11-18T00:00:00Z,2450000,240,0
HLSA000370EF,0,2.00000,2023-03-11,2023-03-12T19:01:29Z,4000000,9.75,2050-01-01T00:00:00Z,0,0,0
HLSA0000BDF3,0,2.00000,2023-01-18,2023-01-25T10:04:31Z,2800000,10,2050-01-01T00:00:00Z,0,0,0
HLSA0004B67B,0,3.00000,2023-05-29,2023-05-29T17:28:55Z,7000000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00001425,0,2.00000,2022-08-18,2022-08-18T18:10:16Z,2800000,10.5,2050-01-01T00:00:00Z,0,0,0
M0277756,1,4.30000,2022-12-16,2022-12-16T15:36:49Z,1200000,10,2050-01-01T00:00:00Z,0,0,0
M0248137TU,1,-1.00000,2022-11-21,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,108,0
HLSA00042F6F,0,4.20000,2023-04-21,2023-04-26T15:41:59Z,1200000,12,2023-04-28T00:00:00Z,900000,204,0
HLSA00003D08,0,7.00000,2022-10-04,2022-10-04T11:32:55Z,2500000,10.5,2022-10-11T00:00:00Z,2505000,228,0
M0291908,0,-1.00000,2023-01-14,2023-01-17T00:41:34Z,2600000,10.5,2050-01-01T00:00:00Z,0,0,0
M0256020,0,9.00000,2022-11-14,2022-11-16T04:29:51Z,700000,12,2022-11-22T00:00:00Z,598000,110,0
HLSA00007107,0,3.00000,2022-11-28,2022-12-07T05:00:04Z,3470000,10.5,2022-12-14T00:00:00Z,2700000,300,0
PCHL00000281,0,-1.00000,2023-02-03,2050-01-01T00:00:00Z,0,-1,2050-01-01T00:00:00Z,0,0,0
HLSA0002137CTU,1,-1.00000,2023-02-09,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,72,0
M0222475TU,1,-1.00000,2022-09-29,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,226,0
HLSA0001A3FC,0,4.20000,2023-01-29,2023-01-29T20:48:51Z,1600000,11,2050-01-01T00:00:00Z,0,0,0
M0245824,1,18.00000,2022-10-28,2022-10-31T15:17:38Z,600000,9,2022-11-01T00:00:00Z,438774,80,0
HLSA0000BBEA,1,5.00000,2023-01-12,2023-01-12T17:40:50Z,1000000,9.75,2023-01-13T00:00:00Z,840445,159,0
HLSA00029A48,0,1.00000,2023-02-10,2023-02-11T00:13:01Z,1000000,12,2050-01-01T00:00:00Z,0,0,0
PCHL000000EB,0,-1.00000,2022-08-18,2050-01-01T00:00:00Z,0,-1,2050-01-01T00:00:00Z,0,0,0
HLSA00001826,0,10.00000,2022-08-24,2022-08-26T12:38:39Z,3000000,10.75,2022-08-28T00:00:00Z,2510000,240,0
HLSA0000A18E,0,-1.00000,2022-12-29,2023-01-03T14:09:51Z,1500000,9.75,2050-01-01T00:00:00Z,0,0,0
HLSA00031F63,1,14.00000,2023-02-27,2023-02-27T17:45:50Z,1500000,9.75,2023-02-28T00:00:00Z,1048286,67,0
HLSA0000B71D,0,-1.00000,2023-01-11,2023-01-11T17:23:27Z,2000000,11.25,2023-01-13T00:00:00Z,800000,53,0
HLSA0000CC04,0,11.00000,2023-01-19,2023-01-20T02:30:01Z,1000000,10,2023-01-25T00:00:00Z,539000,50,0
M0201542,1,12.00000,2022-08-26,2022-08-27T11:09:24Z,350000,8.5,2022-08-28T00:00:00Z,275348,44,0
HLSA0000A1C6,1,12.00000,2022-12-29,2022-12-29T14:21:04Z,1300000,9.75,2022-12-29T00:00:00Z,1197257,122,0
HLSA00020F31,1,15.00000,2023-02-02,2023-02-03T00:55:11Z,1594502,10,2023-02-03T00:00:00Z,1196758,230,0
M0238011,0,7.00000,2022-10-18,2022-10-20T15:55:47Z,4200000,10.5,2022-10-28T00:00:00Z,4000000,216,0
M0227233TU,1,-1.00000,2022-10-17,2050-01-01T00:00:00Z,0,9,2050-01-01T00:00:00Z,0,120,0
HLSA0000C180,0,4.20000,2023-01-16,2023-01-17T10:39:18Z,1900000,11,2050-01-01T00:00:00Z,0,0,0
HLSA0004A333,0,1.00000,2023-05-23,2023-05-23T23:33:16Z,1600000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0003BD8C,0,5.00000,2023-03-24,2023-03-25T00:12:44Z,1800000,10.5,2023-03-27T00:00:00Z,1466000,264,0
M0202666TU,1,-1.00000,2022-08-29,2050-01-01T00:00:00Z,0,9,2050-01-01T00:00:00Z,0,204,0
M0267685,0,8.00000,2022-12-05,2022-12-13T13:26:30Z,700000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00003314,0,4.10000,2022-09-20,2022-09-26T12:21:41Z,3000000,10.5,2050-01-01T00:00:00Z,0,0,0
M0186430,0,4.10000,2022-08-08,2022-08-18T12:06:30Z,5000000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00047577,0,4.30000,2023-05-12,2023-05-12T17:34:31Z,2000000,12.1,2023-05-16T00:00:00Z,1800000,300,0
HLSA0000374A,0,4.30000,2022-09-24,2022-09-26T12:47:51Z,1400000,11,2022-09-30T00:00:00Z,900000,99,0
M0219401,0,4.40000,2022-09-25,2022-10-06T13:32:19Z,2700000,9,2022-10-13T00:00:00Z,0,0,0
M0197837,0,1.00000,2022-08-21,2022-08-24T10:18:06Z,1600000,12.25,2050-01-01T00:00:00Z,0,0,0
HLSA000499FF,0,12.00000,2023-05-22,2023-05-22T17:36:35Z,3000000,10,2023-05-23T00:00:00Z,2139000,160,0
HLSA0000A33E,0,1.00000,2023-01-06,2023-01-10T02:15:04Z,1500000,11,2050-01-01T00:00:00Z,0,0,0
HLSA000464D0,0,12.00000,2023-05-08,2023-05-09T14:02:39Z,3200000,9.75,2023-05-11T00:00:00Z,2700000,300,0
M0252002,1,8.00000,2022-11-09,2022-11-09T15:51:55Z,510000,11,2022-11-10T00:00:00Z,501296,96,0
HLSA000150FC,0,4.30000,2023-01-25,2023-02-03T23:00:24Z,1500000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0004A556,0,4.20000,2023-05-24,2023-05-24T23:48:47Z,2700000,9.75,2023-05-26T00:00:00Z,1800000,229,0
HLSA000441CB,1,13.00000,2023-04-26,2023-04-26T15:11:40Z,1370000,10,2023-04-26T00:00:00Z,1363606,84,0
HLSA00001AAD,0,5.00000,2022-08-28,2022-08-28T12:45:35Z,3400000,11,2022-09-03T00:00:00Z,1630000,240,0
HLSA00029145,0,3.00000,2023-02-10,2023-02-10T22:58:27Z,1400000,12,2050-01-01T00:00:00Z,0,0,0
HLSA0003CAF0,1,13.00000,2023-03-28,2023-03-28T16:53:27Z,1245168,10,2023-03-28T00:00:00Z,1228338,116,0
M0250682,0,3.00000,2022-11-08,2022-11-11T02:00:54Z,2600000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0002D341,0,6.00000,2023-02-17,2023-02-23T11:44:41Z,1200000,10,2023-02-28T00:00:00Z,1200000,240,0
HLSA00026B92,0,4.40000,2023-02-06,2023-02-08T01:58:05Z,4000000,11.5,2050-01-01T00:00:00Z,0,0,0
HLSA0002F87A,0,10.00000,2023-02-21,2023-02-22T16:18:45Z,3000000,10,2023-02-25T00:00:00Z,1500000,160,0
M0272201,1,16.00000,2022-12-08,2022-12-08T21:39:25Z,1600000,9.5,2022-12-09T00:00:00Z,1577198,141,0
HLSA000086B1,0,2.00000,2022-12-15,2022-12-17T16:16:39Z,2500000,10.5,2050-01-01T00:00:00Z,0,0,0
M0252209,0,2.00000,2022-11-09,2022-11-10T14:23:21Z,4300000,10,2022-11-14T00:00:00Z,3500000,283,1
M0182575TU,1,-1.00000,2022-08-11,2050-01-01T00:00:00Z,0,9,2050-01-01T00:00:00Z,0,228,0
HLSA000341A2,0,4.50000,2023-03-03,2023-03-04T11:51:56Z,5000000,10,2023-03-10T00:00:00Z,2879000,240,0
HLSA000022D4,0,2.00000,2022-09-07,2022-09-08T23:31:44Z,2600000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0000CDD2,0,7.00000,2023-01-19,2023-01-19T23:06:40Z,1000000,12,2050-01-01T00:00:00Z,0,0,0
M0190869,0,4.30000,2022-08-11,2022-08-13T18:34:58Z,1200000,10,2050-01-01T00:00:00Z,0,0,0
HLSA0003626C,0,4.30000,2023-03-09,2023-03-11T11:44:08Z,2200000,9.75,2050-01-01T00:00:00Z,0,0,0
M0272814TU,1,-1.00000,2022-12-22,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,72,0
HLSA000071C5TU,1,-1.00000,2022-12-01,2050-01-01T00:00:00Z,0,10.5,2050-01-01T00:00:00Z,0,240,0
HLSA0002E151,0,2.00000,2023-02-20,2023-02-20T18:44:53Z,2000000,10,2023-02-23T00:00:00Z,1950000,180,1
HLSA0000698B,0,3.00000,2022-11-19,2022-11-24T20:18:41Z,1500000,11,2050-01-01T00:00:00Z,0,0,0
M0275583,1,11.00000,2022-12-13,2022-12-13T17:06:39Z,1563193,9.5,2022-12-14T00:00:00Z,1571325,240,0
HLSA0002949E,0,4.50000,2023-02-09,2023-02-09T23:29:04Z,2000000,10,2023-02-11T00:00:00Z,1800000,240,0
M0321308,0,17.00000,2023-03-09,2023-03-12T10:25:49Z,1100000,10,2023-03-16T00:00:00Z,1280236,105,0
HLSA00013367TU,1,-1.00000,2023-01-25,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,96,0
HLSA00003E22,0,4.50000,2022-10-10,2022-10-12T11:52:12Z,1500000,12,2022-10-13T00:00:00Z,730000,296,0
M0294524,0,1.00000,2023-01-19,2023-01-19T17:14:31Z,1400000,12,2050-01-01T00:00:00Z,0,0,1
HLSA0000BD2F,1,13.00000,2023-01-13,2023-02-01T17:34:07Z,1033831,10.5,2023-02-02T00:00:00Z,1034101,120,0
HLSA0000A5ED,1,4.30000,2023-01-02,2023-01-02T15:41:18Z,910478,9.75,2023-01-02T00:00:00Z,900235,176,0
HLSA00006EF8,1,-1.00000,2022-11-24,2022-11-25T11:05:30Z,350000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA000469CA,0,8.00000,2023-05-09,2023-05-10T11:01:16Z,1800000,10,2023-05-11T00:00:00Z,1800000,290,0
HLSA00005A82,1,11.00000,2022-11-08,2022-11-08T14:50:11Z,1570000,11,2022-11-09T00:00:00Z,1318694,148,0
HLSA0000C96ETU,1,-1.00000,2023-03-12,2050-01-01T00:00:00Z,0,9.75,2050-01-01T00:00:00Z,0,36,0
M0192230,0,-1.00000,2022-08-12,2022-08-12T23:18:39Z,3700000,10,2050-01-01T00:00:00Z,0,0,0
HLSA0000A6BF,0,4.40000,2023-01-17,2023-01-21T14:56:49Z,15000000,10,2050-01-01T00:00:00Z,0,0,0
M0252744,0,-1.00000,2022-11-10,2022-11-10T18:29:22Z,800000,10.5,2022-11-18T00:00:00Z,800000,240,0
HLSA0002671B,0,2.00000,2023-02-06,2023-02-08T14:09:54Z,3500000,10,2050-01-01T00:00:00Z,0,0,0
HLSA000291E6,0,17.00000,2023-02-09,2023-02-16T14:12:07Z,1800000,10,2023-02-18T00:00:00Z,1800000,290,0
HLSA0003D414,0,10.00000,2023-03-29,2023-03-29T15:53:50Z,6000000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00037B15,0,13.00000,2023-03-13,2023-03-14T11:29:59Z,2800000,10,2023-03-16T00:00:00Z,2700000,292,0
HLSA00036871TU,1,-1.00000,2023-03-11,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,96,0
HLSA000397F9,0,-1.00000,2023-03-24,2023-03-25T00:11:46Z,1900000,10,2023-03-29T00:00:00Z,2000000,180,0
HLSA0003838F,0,4.20000,2023-03-17,2023-03-30T16:13:28Z,3000000,11.25,2050-01-01T00:00:00Z,0,0,0
HLSA00028929TU,1,-1.00000,2023-02-10,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,216,0
HLSA0000CDB6,0,-1.00000,2023-01-24,2023-01-24T11:49:40Z,1400000,10.5,2023-01-30T00:00:00Z,1400000,240,0
HLSA000070D7,0,4.30000,2022-11-29,2022-12-02T13:31:59Z,2500000,11.75,2022-12-06T00:00:00Z,3000000,300,0
HLSA0004536A,0,4.50000,2023-05-02,2023-05-03T01:01:44Z,2000000,9.75,2050-01-01T00:00:00Z,0,0,0
HLSA000399BB,0,1.00000,2023-03-18,2023-03-18T17:24:11Z,2600000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00007A6B,0,5.00000,2022-12-29,2022-12-30T12:18:50Z,1500000,13,2023-01-04T00:00:00Z,1100000,240,1
HLSA00009438,0,4.10000,2022-12-22,2022-12-25T03:11:36Z,330000,10.5,2022-12-30T00:00:00Z,2900000,228,0
M0188132,0,6.00000,2022-08-08,2022-08-08T23:19:59Z,5000000,10.3,2022-08-12T00:00:00Z,0,0,0
M0218335,0,6.00000,2022-09-20,2022-09-21T14:38:25Z,3500000,10,2022-09-28T00:00:00Z,2500000,240,0
M0231053,0,4.30000,2022-10-07,2022-10-07T23:52:32Z,800000,12,2022-10-11T00:00:00Z,681376,240,0
M0179246TU,1,-1.00000,2022-08-10,2050-01-01T00:00:00Z,0,9,2050-01-01T00:00:00Z,0,240,0
HLSA00043D3B,0,3.00000,2023-04-26,2023-04-28T00:07:52Z,800000,12.5,2050-01-01T00:00:00Z,0,0,0
HLSA0001D85F,0,8.00000,2023-02-01,2023-02-01T23:56:46Z,700000,12,2023-02-09T00:00:00Z,800000,240,0
HLSA000344D0TU,1,-1.00000,2023-03-21,2050-01-01T00:00:00Z,0,9.75,2050-01-01T00:00:00Z,0,240,0
HLSA0000CC8A,0,2.00000,2023-01-20,2023-01-20T14:39:04Z,7500000,11,2050-01-01T00:00:00Z,0,0,0
M0222631TU,1,-1.00000,2022-09-27,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,96,0
M0250660,1,9.00000,2022-11-07,2022-11-07T14:23:58Z,1200000,10,2022-11-09T00:00:00Z,1039780,120,0
M0203109,0,-1.00000,2022-08-28,2022-08-29T11:07:52Z,1100000,13,2022-08-29T00:00:00Z,1100000,180,1
M0275556TU,1,-1.00000,2022-12-22,2050-01-01T00:00:00Z,0,9.5,2050-01-01T00:00:00Z,0,240,0
HLSA00049EF1,0,4.30000,2023-05-23,2023-05-23T14:22:02Z,3000000,10.5,2023-05-25T00:00:00Z,1800000,232,0
HLSA0004B6D9,0,4.10000,2023-05-29,2023-05-30T12:00:25Z,1500000,11,2050-01-01T00:00:00Z,0,0,0
HLSA0000C2B9TU,1,-1.00000,2023-01-17,2050-01-01T00:00:00Z,0,10.5,2050-01-01T00:00:00Z,0,240,0
M0229521,0,8.00000,2022-10-06,2022-10-06T19:21:33Z,850000,12,2022-10-11T00:00:00Z,72300,148,0
HLSA00047154,0,1.00000,2023-05-11,2023-05-13T13:38:35Z,500000,11.5,2050-01-01T00:00:00Z,0,0,0
M0184767,0,1.00000,2022-08-08,2022-08-09T18:04:18Z,3200000,11,2050-01-01T00:00:00Z,0,0,0
HLSA0001C5B9,0,5.00000,2023-01-30,2023-01-31T02:01:27Z,1800000,10,2050-01-01T00:00:00Z,0,0,0
HLSA00044CFCTU,1,-1.00000,2023-05-23,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,175,0
HLSA00046E46,0,5.00000,2023-05-10,2023-05-12T11:36:58Z,1500000,11,2050-01-01T00:00:00Z,0,0,0
HLSA0003ECF3,1,17.00000,2023-04-05,2023-04-05T12:31:46Z,755613,10,2023-04-05T00:00:00Z,771059,240,0
HLSA00008837,0,9.00000,2022-12-15,2022-12-16T13:53:56Z,5500000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA00046F0ETU,1,-1.00000,2023-05-12,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,216,0
